Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 5.433442000000000e+00, 1.618059495252657e+03
 5.450109000000000e+00, 1.609635987406362e+03
 5.466775999999999e+00, 1.597405577096844e+03
 5.483443000000000e+00, 1.597964153197511e+03
 5.500110000000000e+00, 1.617599502605576e+03
 5.516777000000000e+00, 1.623458783018446e+03
 5.533444000000000e+00, 1.624819889982271e+03
 5.550111000000000e+00, 1.617608092179787e+03
 5.566778000000000e+00, 1.618717473768842e+03
 5.583444999999999e+00, 1.622671078905543e+03
 5.600112000000000e+00, 1.631950548979434e+03
 5.616779000000000e+00, 1.643842684819587e+03
 5.633446000000000e+00, 1.648608822499822e+03
 5.650112999999999e+00, 1.646994366860513e+03
 5.666780000000000e+00, 1.649746619661096e+03
 5.683447000000000e+00, 1.661473442849556e+03
 5.700114000000000e+00, 1.661157956226193e+03
 5.716781000000000e+00, 1.666020644260302e+03
 5.733448000000000e+00, 1.680388326672465e+03
 5.750115000000000e+00, 1.682073259114148e+03
 5.766782000000001e+00, 1.675954557092288e+03
 5.783449000000000e+00, 1.672086171159753e+03
 5.800116000000000e+00, 1.672799648516185e+03
 5.816783000000000e+00, 1.659775380039462e+03
 5.833450000000001e+00, 1.658383645162631e+03
 5.850117000000000e+00, 1.704452166022981e+03
 5.866784000000000e+00, 1.689776742737796e+03
 5.883451000000000e+00, 1.708605791802598e+03
 5.900118000000000e+00, 1.718169835533116e+03
 5.916785000000000e+00, 1.720478175466711e+03
 5.933452000000000e+00, 1.720252451194029e+03
 5.950119000000001e+00, 1.721454671429012e+03
 5.966786000000000e+00, 1.722758853436734e+03
 5.983453000000000e+00, 1.723042878008094e+03
 6.000120000000000e+00, 1.727192248020925e+03
 6.016787000000001e+00, 1.732626546659169e+03
 6.033454000000000e+00, 1.736352325706324e+03
 6.050121000000000e+00, 1.742060016086844e+03
 6.066788000000001e+00, 1.751711612624019e+03
 6.083455000000001e+00, 1.760038296021808e+03
 6.100122000000000e+00, 1.755788312650742e+03
 6.116789000000000e+00, 1.751532402779361e+03
 6.133456000000001e+00, 1.743208652062736e+03
 6.150123000000001e+00, 1.736486858659527e+03
 6.166790000000000e+00, 1.737308807350298e+03
 6.183457000000000e+00, 1.735655869801303e+03
 6.200124000000001e+00, 1.746372358077359e+03
 6.216791000000000e+00, 1.742883622400779e+03
 6.233458000000000e+00, 1.740905930362211e+03
 6.250125000000001e+00, 1.742433881761335e+03
 6.266792000000001e+00, 1.741941546333150e+03
 6.283459000000000e+00, 1.744449884290723e+03
 6.300126000000000e+00, 1.750291732565058e+03
 6.316793000000001e+00, 1.754242854406570e+03
 6.333460000000001e+00, 1.764544565845819e+03
 6.350127000000000e+00, 1.778297004202090e+03
