Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 4.333420000000000e+00, 4.822949035623145e+01
 4.350087000000000e+00, 4.321622245446730e+01
 4.366754000000000e+00, 3.964306621102817e+01
 4.383421000000000e+00, 3.796758973902836e+01
 4.400088000000000e+00, 3.896879947695379e+01
 4.416755000000000e+00, 4.286536511516611e+01
 4.433422000000000e+00, 4.914899598326154e+01
 4.450089000000000e+00, 5.674712253569293e+01
 4.466756000000000e+00, 6.508137446923698e+01
 4.483423000000000e+00, 7.330688547831191e+01
 4.500090000000000e+00, 8.048365479238166e+01
 4.516757000000000e+00, 8.478913462717011e+01
 4.533424000000000e+00, 8.316625649214116e+01
 4.550091000000000e+00, 7.187843570479913e+01
 4.566758000000000e+00, 4.998390763595978e+01
 4.583425000000000e+00, 3.070643877770998e+01
 4.600092000000000e+00, 4.016058846230590e+01
 4.616759000000000e+00, 5.698492699860880e+01
 4.633426000000000e+00, 6.810261842488478e+01
 4.650093000000000e+00, 7.425361383854171e+01
 4.666760000000000e+00, 7.154933155149378e+01
 4.683427000000000e+00, 6.259231734153775e+01
 4.700094000000000e+00, 5.136921780504221e+01
 4.716761000000000e+00, 3.820645048509378e+01
 4.733428000000000e+00, 2.818240443321979e+01
 4.750095000000000e+00, 2.283401180354777e+01
 4.766762000000000e+00, 2.181726687353628e+01
 4.783429000000000e+00, 2.263680828768798e+01
 4.800096000000000e+00, 2.272914003415702e+01
 4.816763000000001e+00, 2.090590533858408e+01
 4.833430000000000e+00, 1.704911121957926e+01
 4.850097000000000e+00, 1.150140205177541e+01
 4.866764000000000e+00, 5.451397099434732e+00
 4.883431000000000e+00, 4.010930511343265e-01
 4.900098000000000e+00, 4.734098291166752e+00
 4.916765000000000e+00, 1.419005033735657e+01
 4.933432000000000e+00, 2.645369584135156e+01
 4.950099000000000e+00, 3.575095215939630e+01
 4.966766000000001e+00, 3.924666819457717e+01
 4.983433000000001e+00, 3.724386562196847e+01
 5.000100000000001e+00, 3.265390448678846e+01
 5.016767000000001e+00, 2.731079328348601e+01
 5.033434000000001e+00, 2.330106376784272e+01
 5.050101000000000e+00, 2.228414325644117e+01
 5.066768000000000e+00, 2.341841047448254e+01
 5.083435000000000e+00, 2.726248700615022e+01
 5.100102000000000e+00, 3.180218701235528e+01
 5.116769000000000e+00, 3.472652880613639e+01
 5.133436000000001e+00, 3.539592066598212e+01
 5.150103000000001e+00, 3.490895558978754e+01
 5.166770000000001e+00, 3.451967121727476e+01
 5.183437000000001e+00, 3.403741668211137e+01
 5.200104000000001e+00, 3.249483723432941e+01
 5.216771000000000e+00, 2.906591816473956e+01
 5.233438000000000e+00, 2.486796288399814e+01
 5.250105000000000e+00, 2.088432220367881e+01
 5.266772000000000e+00, 1.784615328104879e+01
 5.283439000000000e+00, 1.607837908491284e+01
 5.300106000000000e+00, 1.510006385869890e+01
 5.316773000000000e+00, 1.357270463171004e+01
 5.333440000000000e+00, 1.379782812161776e+01
 5.350107000000000e+00, 2.227392755568493e+01
 5.366774000000000e+00, 4.185248856877477e+01
 5.383441000000000e+00, 6.492133999289300e+01
 5.400108000000000e+00, 8.416457821189053e+01
 5.416775000000000e+00, 9.418263636785426e+01
 5.433442000000000e+00, 9.222006744728006e+01
 5.450109000000000e+00, 8.195960843642044e+01
 5.466776000000000e+00, 6.740353259594092e+01
 5.483443000000000e+00, 5.489243513781474e+01
 5.500110000000000e+00, 5.303402222591249e+01
 5.516777000000000e+00, 5.734453551291774e+01
 5.533444000000000e+00, 7.428793196875853e+01
 5.550111000000000e+00, 9.937654273256322e+01
 5.566778000000000e+00, 1.030156482771237e+02
 5.583445000000000e+00, 2.356990326028138e+02
 5.600112000000000e+00, 2.896416457221426e+02
 5.616779000000000e+00, 1.389507603278814e+02
 5.633446000000000e+00, 1.426187158223540e+02
 5.650113000000000e+00, 1.659760508839065e+02
 5.666779999999999e+00, 2.011371555077618e+02
 5.683446999999999e+00, 3.057646130473505e+02
 5.700114000000001e+00, 4.264161848675669e+02
 5.716781000000001e+00, 5.398589138118670e+02
 5.733448000000001e+00, 6.585816820159237e+02
 5.750115000000001e+00, 7.146203309038850e+02
 5.766782000000000e+00, 7.279743678426970e+02
 5.783449000000000e+00, 7.308358055978624e+02
 5.800116000000000e+00, 7.585342386591331e+02
 5.816783000000000e+00, 7.949212068878181e+02
 5.833450000000000e+00, 8.296229991449235e+02
 5.850117000000000e+00, 8.552802276738996e+02
 5.866784000000000e+00, 8.649274339499985e+02
 5.883451000000000e+00, 8.598384844936139e+02
 5.900118000000000e+00, 8.477977586085052e+02
 5.916785000000000e+00, 8.237266520533933e+02
 5.933452000000000e+00, 8.160315239964453e+02
 5.950119000000000e+00, 8.413905808956428e+02
 5.966786000000000e+00, 8.680778058563418e+02
 5.983453000000000e+00, 8.940455140750864e+02
 6.000120000000000e+00, 9.315254398817713e+02
 6.016787000000001e+00, 9.645137386212056e+02
 6.033454000000001e+00, 9.968374781358473e+02
 6.050121000000001e+00, 1.029455802665286e+03
 6.066788000000001e+00, 1.052174351943439e+03
 6.083455000000001e+00, 1.096421332091574e+03
 6.100122000000001e+00, 1.139202361737312e+03
 6.116789000000001e+00, 1.189666612523375e+03
